Tanggal,A1. Galian Tanah (A),A2. Pengadaan dan Pemasangan Pasangan Batu Mortar Tipe N (1 PC: 4 PP),A3. Pekerjaan Plesteran ,A4. Pekerjaan Siaran ,B1. Galian Tanah (A),B2. Pengadaan dan Pemasangan Pasangan Batu Mortar Tipe N (1 PC: 4 PP),B3. Pekerjaan Plesteran ,B4. Pekerjaan Siaran ,C1. Galian Tanah (A),C2. Pengadaan dan Pemasangan Pasangan Batu Mortar Tipe N (1 PC: 4 PP),C3. Pekerjaan Plesteran ,C4. Pekerjaan Siaran 
2025-10-02,2698,4857.99,4607.73,2094.23,60,42,38,0,56.48,56.23,69.07,11.76
2025-10-03,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,0,0,0
2025-10-04,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,0,0,0
2025-10-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-06,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-10-07,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-10-08,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-10-09,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-10-10,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-10-11,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-10-12,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-13,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,3.715,5.6075,0.7375
2025-10-14,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,3.715,5.6075,0.7375
2025-10-15,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,3.715,5.6075,0.7375
2025-10-16,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,3.715,5.6075,0.7375
2025-10-17,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,3.715,5.6075,0.7375
2025-10-18,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,3.715,5.6075,0.7375
2025-10-19,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-20,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,0,0,0
2025-10-21,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,0,0,0
2025-10-22,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,0,0,0
2025-10-23,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,0,0,0
2025-10-24,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,0,0,0
2025-10-25,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,0,0,0
2025-10-26,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-27,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,0,0,0
2025-10-28,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,0,0,0
2025-10-29,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,0,0,0
2025-10-30,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,0,0,0
2025-10-31,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,0,0,0
2025-11-01,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,0,0,0
2025-11-02,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-03,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-04,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-05,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-06,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-07,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-08,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-09,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-10,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-11,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-12,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-13,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-14,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-15,84.9516129,165.6603226,198.2543548,191.6127419,0,0,0,0,0,3.715,5.6075,0.7375
2025-11-16,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-17,84.9516129,165.6603226,198.2543548,191.6127419,4.99125,6.80125,10.15458333,5.35875,0,0,0,0
