Tanggal,A1. Galian Tanah dengan Alat di Bendung,A2. Beton Siklop 60% Beton fc 15 Mpa : 40% Batu Belah Semi mekanis,B1. Galian Tanah dengan Alat di Saluran Induk,B2. Galian Tanah dengan Alat di Saluran Induk,B3. Pasangan Batu Tipe N (1PC 4PP) semi mekanis di Sal Induk,B4. Pekerjaan Plesteran 1PC : 3PP di Saluran Induk,B5. Pembesian di Saluran Induk,B6. Beton Fc 20 Mpa Agregat Maks 19 mm Semi Mekanis di Sal Induk,C1. Galian Tanah dengan Alat di Saluran Sekunder,C2. Galian Tanah dengan Alat di Saluran Sekunder,C3. Pasangan Batu Tipe N (1PC 4PP) semi mekanis di Sal Sekunder,C4. Pekerjaan Plesteran 1PC : 3PP di Saluran Sekunder,C5. Pembesian di Saluran Sekunder,C6. Beton Fc 20 Mpa Agregat Maks 19 mm Semi Mekanis di Sal Sekunder,D1. Galian Tanah dengan Alat di Saluran Pembuang,D2. Galian Tanah dengan Alat di Saluran Pembuang,E1. Galian Tanah dengan Alat di Bangunan Sadap,E2. Pasangan Batu Tipe N (1PC 4PP) semi mekanis di Bangunan Sadap,F1. Galian Tanah dengan Alat di Bangunan Pelengkap,F2. Pasangan Batu Tipe N (1PC 4PP) semi mekanis di Bangunan Pelengkap
11/23/2025,0,0,6577.12,0,5241.84,10707.84,4322.79,0,4841.57,7670.14,6742.83,15100.38,12702,68.04,9640.9,0,0,0,0,0
11/24/2025,18.6525,0,214.915,0,87.5175,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,0,280.575,1473.292,0,0,0,0
11/25/2025,18.6525,0,214.915,0,87.5175,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,0,280.575,1473.292,0,0,0,0
11/26/2025,18.6525,0,214.915,0,87.5175,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,0,280.575,1473.292,0,0,0,0
11/27/2025,18.6525,0,214.915,0,87.5175,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,0,280.575,1473.292,0,0,0,0
11/28/2025,18.6525,0,214.915,0,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,0,280.575,1473.292,0,0,0,0
11/29/2025,18.6525,0,214.915,0,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,0,280.575,1473.292,0,0,0,0
11/30/2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2025,18.6525,0,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,0,0,0
12/2/2025,18.6525,0,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,0,0,0
12/3/2025,18.6525,0,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,0,0,0
12/4/2025,18.6525,0,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,0,0,0
12/5/2025,18.6525,0,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,0,0,0
12/6/2025,18.6525,0,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,0,0,0
12/7/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2025,0,42.49416667,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,15.115,0,25.75166667,0
12/9/2025,0,42.49416667,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,15.115,0,25.75166667,0
12/10/2025,0,42.49416667,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,15.115,0,25.75166667,0
12/11/2025,0,42.49416667,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,15.115,0,25.75166667,0
12/12/2025,0,42.49416667,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,15.115,0,25.75166667,0
12/13/2025,0,42.49416667,214.915,230.2675,0,172.7644444,2643.048333,28.44566667,0,243.3222222,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,15.115,0,25.75166667,0
12/14/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2025,0,42.49416667,0,0,0,0,2643.048333,28.44566667,0,0,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,18.305,0,22.665
12/16/2025,0,42.49416667,0,0,0,0,2643.048333,28.44566667,0,0,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,18.305,0,22.665
12/17/2025,0,42.49416667,0,0,0,0,2643.048333,28.44566667,0,0,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,18.305,0,22.665
12/18/2025,0,42.49416667,0,0,0,0,2643.048333,28.44566667,0,0,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,18.305,0,22.665
12/19/2025,0,42.49416667,0,0,0,0,2643.048333,28.44566667,0,0,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,18.305,0,22.665
12/20/2025,0,42.49416667,0,0,0,0,2643.048333,28.44566667,0,0,78.43916667,209.8108333,0,7.702777778,280.575,1473.292,0,18.305,0,22.665
12/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2025,0,0,0,0,0,0,2643.048333,28.44566667,0,0,0,0,0,0,0,1473.292,0,0,0,0
12/23/2025,0,0,0,0,0,0,2643.048333,28.44566667,0,0,0,0,0,0,0,1473.292,0,0,0,0
12/24/2025,0,0,0,0,0,0,2643.048333,28.44566667,0,0,0,0,0,0,0,1473.292,0,0,0,0
12/25/2025,0,0,0,0,0,0,2643.048333,28.44566667,0,0,0,0,0,0,0,1473.292,0,0,0,0
